ESCOURI,ID,UUID,ORIGINUUID,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/065ec709-e0f4-407f-91fe-9feab66942be,key_19726,,,skill/competence,occupation-specific,design sprinkler systems,"sprinkler systems designing
sprinkler system designing
water sprinkler systems planning
planning sprinkler systems
design sprinkler systems
designing sprinkler systems
sprinkler systems planning
sprinkler system planning
designing water sprinkler systems
plan sprinkler systems
water sprinkler system designing
water sprinkler system planning
planning water sprinkler systems
water sprinkler systems designing","Design sprinkler systems. Take into account issues of water conservation, existing and proposed landscaping features, and time sequencing of existing systems.",,
http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74,key_19727,,,skill/competence,cross-sector,identify statistical patterns,"determine statistical patterns
identifying statistical patterns
identify statistical pattern
examine statistical patterns
assess statistical patterns
identify statistical patterns
evaluate statistical patterns",Analyse statistical data in order to find patterns and trends in the data or between variables.,,
http://data.europa.eu/esco/skill/066ea964-3f3b-42f2-b6a6-38d0726dbcc1,key_19728,,,knowledge,occupation-specific,surgical instruments,"surgical apparatus
a surgical instrument
surgical equipment
surgical devices
surgical implements
surgical instrument
surgical instruments","Series of instruments, such as cutting tools, clamps, distractors and forceps, used for medical interventions aiming to repair ruptured tissues, treat injuries or diseases, and ameliorate bodily functions.",,
http://data.europa.eu/esco/skill/06735a47-61df-4fcb-b23c-d26d70fd3cba,key_19729,,,skill/competence,sector-specific,measure sugar refinement,"calculate sugar refinement
assess sugar refinement
survey sugar refinement
regulate sugar refinement
measure sugar refinement
measuring sugar refinement",Monitoring the refinement of sugars by measuring the pH level.,,
http://data.europa.eu/esco/skill/0675eb6d-7918-4248-917b-dbce45b06901,key_19730,,,skill/competence,sector-specific,carry out products preparation,"make products preparation
undertake products preparation
carry out product preparations
carry out product preparation
carrying out product preparation
complete products preparation
carry out products preparation
oversee products preparation",Assemble and prepare goods and demonstrate their functionalities to customers.,,
http://data.europa.eu/esco/skill/06771445-aafc-4422-966c-87c861ad3fd3,key_19731,,,skill/competence,occupation-specific,teach archaeology,"provide instruction on archaeology
explain archaeology
teaches archaeology
teaching archaeology
educate on archaeology
teach archeology","Instruct students in the theory and practice of archaeology, more specifically in archaeological excavation techniques, human and cultural development, archaeological science, and archaeological investigation.",,
http://data.europa.eu/esco/skill/06792b9d-b287-46ad-aa0e-1ae7efe13293,key_19732,,,skill/competence,sector-specific,operate oil pumping systems,"control liquid circulation
control refinery liquid circulation
oil pumping systems operation
adjusting oil flow
operation of oil pumping systems
oil pumping system operation
controlling refinery liquid circulation
controlling liquid circulation
adjust oil flow
operating of oil pumping systems
operating oil pumping systems
operate oil pumping systems",Manipulate control panels to adjust pressure and temperature and to direct product flow rate. Control oil pumping systems; monitor liquid circulation in petroleum refinery.,,
http://data.europa.eu/esco/skill/067a0c6d-4d8b-4e62-bce1-fc27c26f08c6,key_19733,,,skill/competence,occupation-specific,operate middlings purifier,"use a middlings purifier
work a middlings purifier
operate the middlings purifier
operate middlings purifier
handle a middlings purifier
utilise a middlings purifier",Operate a middling purifier to remove the husks from the kernels of wheat. This machine is used in the production of flour.,,
http://data.europa.eu/esco/skill/068271d5-c50f-4d5c-bf33-db3727bf69e2,key_19734,,,skill/competence,sector-specific,understand the animal's situation,"categorise information regarding animal environment
categorize information regarding animal environment
identify animals' situations
identify animals' needs
understand the animal's situation
identify the animal's situation
identify animals' situation
assess animals' needs
understand animals' situation
understand animals' situations","Categorise and verify information about the environment and its impact on the animal. Analyse the situation, such as what the animal may want or need.",,
http://data.europa.eu/esco/skill/069dd599-cc57-451f-b7c4-b93d01faa2e8,key_19735,,,knowledge,occupation-specific,molecular and cellular immunology,"study of molecular and cellular immune system
function of molecular and cellular immune system
function of molecular and cellular immune systems
development of molecular and cellular immune system
study of molecular and cellular immune systems
molecular and cellular immunology
development of molecular and cellular immune systems",The interactions at molecular level that trigger a response from the immune system.,,
http://data.europa.eu/esco/skill/06a4004d-ee47-44ff-ae2f-a038ba0c0256,key_19736,,,skill/competence,sector-specific,perform a feasibility study on mini wind power,"carry out feasibility study on mini wind power
do a feasibility study on mini wind power","Perform the evaluation and assessment of the potential of mini wind power systems. Realise a standardised study to estimate the needed electrical power demand of the building, the part of mini wind power on total supply, and conduct research to support the process of decision making.",,
http://data.europa.eu/esco/skill/06aac0bf-3bfd-42b3-a334-39c4f4055da0,key_19737,,,skill/competence,sector-specific,monitor curriculum implementation,"oversee syllabus implementation
monitor curriculum implementation
oversee curriculum implementation
supervise curriculum implementation
advise on curriculum implementation
supervise syllabus implementation
advise on syllabus implementation
audit curriculum implementation
audit syllabus implementation",Monitor the steps taken in educational institutions to implement the approved learning curriculum for said institution to ensure adherence and the use of proper teaching methods and resources.,,
http://data.europa.eu/esco/skill/06b1f593-ac31-42ba-a2cd-5d86c755b416,key_19738,,,skill/competence,sector-specific,harvest grapes,"grapes gathering
grapes harvesting
gathering grapes
gather grapes
grape harvesting
harvest grapes
grape gathering
harvesting grapes",Harvest wine grapes.,,
http://data.europa.eu/esco/skill/06b61b85-5838-4b6a-9ee2-abc6568e1b38,key_19739,,,skill/competence,occupation-specific,identify the dietetic professional quality of care,"identify professional dietetic quality of care
give nutrition-based advice in care
identify the dietetic professional quality of care
ensure dietetic interventions in care",Ensure the highest quality of care provided through dietetic interventions and nutrition-based advice.,,
http://data.europa.eu/esco/skill/06b6ab55-11b4-495e-9061-88684c8825bb,key_19740,,,skill/competence,sector-specific,monitor tank thermometer,"tank thermometer checking
monitoring tank thermometer
check tank thermometer
checking tank thermometer
monitor tank thermometer
tank thermometer monitoring",Monitor the tank in order to prevend explosion or decomposition due to an accumulation of heat.,,
http://data.europa.eu/esco/skill/06bd47bc-d9f3-4517-8e34-c55c2e81f8c2,key_19741,,,knowledge,cross-sector,workplace sanitation,"workplace hygiene
workplace health
workplace cleanliness
workplace sanitation","The importance of a clean, sanitary workspace for example through use of hand disinfectant and sanitizer, in order to minimise infection risk between colleagues or when working with children.",,
http://data.europa.eu/esco/skill/06bf61f2-9df5-489d-8268-49fd8e3c34d3,key_19742,,,skill/competence,sector-specific,operate centrifuges,"adjust centrifuges
operate a centrifuge
operating centrifuge
operate the centrifuge
utilise centrifuges
operate centrifuges
handle centrifuges
work centrifuges",Adjust working condition as speed and time of centrifuges according to the requirements of the product in process. Operate centrifuges.,,
http://data.europa.eu/esco/skill/06bf62ec-3316-49b7-989f-a47fe61f8987,key_19743,,,skill/competence,occupation-specific,organise harvests,"scheduling harvests
schedule harvests
harvests scheduling
organising harvests
harvest scheduling
harvest organising
organize harvests
harvests organising",Schedule the planting and harvesting of crops.,,
http://data.europa.eu/esco/skill/06c02117-18f2-4a39-bb0b-451f27435660,key_19744,,,skill/competence,sector-specific,transfer kiln-baked products,"move kiln-baked products
kiln-baked product transferring
transferring kiln-baked products
transfer kiln-baked products
kiln-baked product moving
moving kiln-baked products",Transfer the baked products from the tunnel kiln into the sorting area by using a transfer car.,,
http://data.europa.eu/esco/skill/06c4a403-2614-40c6-a7ea-4a1fc267f053,key_19745,,,skill/competence,occupation-specific,remove snow from airport operational areas,"perform airport snow and ice removal procedures
carry out airport snow and ice removal procedures
implement snow removal procedures according to airport snow control plan
remove snow and ice from airport operational and traffic areas
remove snow and ice from airport operational areas
remove snow from airport operational and traffic areas
undertake snow and ice removal activities in airport operational and traffic areas
execute airport snow and ice removal procedures
remove snow and ice from operational and traffic areas of airports
remove snow from operational and traffic areas in accordance with airport snow control plan
remove snow and ice from airport traffic areas
remove snow from airport operational areas
remove snow from airport traffic areas","Follow strict procedures to remove snow and ice from the operational and traffic areas of airports. Adhere to the snow plan, particularly in the use of equipment to clear the different areas of the airport.",,
http://data.europa.eu/esco/skill/06cc28fb-c494-427d-89a7-2dbf9a4245b1,key_19746,,,skill/competence,occupation-specific,deal with unforeseen incidents in hospitality,"handle incidents in hospitality
handle crisis situations
deal with unforeseen incidents in hospitality
manage life-threatening situations
deal with unforeseen hospitality incidents
handle risk situations","Handle unexpected incidents following the appropriate protocol by solving, organising, reporting and documenting them.",,"Incidents might include injuries, theft or damage of property, fire, bomb threats, hostage taking..."
http://data.europa.eu/esco/skill/06cf28f4-608d-4fb9-94c5-c0698d70ea71,key_19747,,,skill/competence,cross-sector,maintain cutting equipment,"manage cutting equipment
maintaining cutting equipment
control cutting equipment
maintain cutting equipment
preserve cutting equipment
sustain cutting equipment
maintain the cutting equipment","Maintenance of the cutting equipment (knives, cutters, and other elements).",,
http://data.europa.eu/esco/skill/06d63a6c-3786-48ae-98f6-71acbe49958c,key_19748,,,knowledge,cross-sector,wet tumbling,"damp tumbling
saturated tumbling
liquid deburring and polishing processes
wet tumbling
moist deburring and polishing processes
saturated deburring and polishing processes
liquid tumbling
moist tumbling
damp deburring and polishing processes","Process of tumbling, employing water and other agents inside a wet tumbling barrel to clean and remove burrs from metal parts and stones in order to smoothen them.",,
http://data.europa.eu/esco/skill/06ddc929-2f34-46e0-92ef-784fd1c48783,key_19749,,,skill/competence,occupation-specific,calculate optimal time for insemination,"determine optimal time for insemination
identify optimal insemination time through behaviour monitoring
monitor heat cycles to determine best time for insemination
ascertain optimal time for insemination
identify best time for insemination
monitor behaviour patterns and heat cycles to determine best time for insemination
calculate optimal time for insemination
determine optimal insemination period
identify ideal insemination periods
calculate optimal insemination period
ascertain optimal insemination period",Calculate the best time for insemination through monitoring of female behaviour patterns and heat cycles.',,
http://data.europa.eu/esco/skill/06e347f2-2504-4ee8-b7f7-8d9542f56207,key_19750,,,skill/competence,cross-sector,translate keywords into full texts,"translating keywords into full texts
transcribe keywords into full texts
translate keywords into full texts
translate keywords into full text
translate full texts from keywords
convert keywords into full texts
translate keyword into full texts","Draft e-mails, letters and other written documents on the basis of keywords or key concepts outlining the content. Choose the appropriate format and language style according to the type of document.",,
http://data.europa.eu/esco/skill/06ec0ecb-87fc-47a4-8348-81df2470ff3d,key_19751,,,skill/competence,occupation-specific,lead the dental team,"lead the dental team
lead dental teams
act as leader in dental teams
act as leader of dental teams
act as leader of dental team
lead dental team","Act as the leader of the dental team by providing clear instructions to the staff, depending on the dental procedures undertaken.",,
http://data.europa.eu/esco/skill/06f08810-2cf0-49c7-b1d0-ec981bd074dc,key_19752,,,skill/competence,sector-specific,sterilise working environment,"sterilising working environment
disinfect working environment
sterilize working environment
sanitize working environment
decontaminate working environment","Make sure all working equipment, jewellery and skin is made sterile, before performing skin treatment or body modifications such as tattooing or piercing, to prevent infections or the transfer of diseases.",,
http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,key_19753,,,knowledge,sector-specific,keywords in digital content,keywords in digital content,The digital tools to conduct keyword research. The information retrieval systems identify the content of a document guided by keywords and metadata.,,
http://data.europa.eu/esco/skill/06f3473a-0057-4992-b6f2-3bf606462ed0,key_19754,,,skill/competence,sector-specific,apply related sciences to music therapy,"apply related sciences to music therapy
apply philosophical basis of music as therapy
apply related science to music therapy
apply physiological basis of music as therapy
apply psychological basis of music as therapy
apply sociological basis of music as therapy
apply a related science to music therapy",Use psychological or sociological elements in delivering music therapy.,,
http://data.europa.eu/esco/skill/06f46a6e-62d3-4ca0-bedb-cb4c021c14ee,key_19755,,,knowledge,sector-specific,legal studies,"the study of law
law studies
legal studies","The study of law; the situations and causes that elicit responses from institutions in the form of laws and regulations. Some areas of law are civil, business, criminal, and property law.",,
http://data.europa.eu/esco/skill/06fa9997-1720-45e8-a0cf-ee3060049f8b,key_19756,,,skill/competence,cross-sector,alter management,"altering management
change management
alter management
revise management
rework management",To manage and drive change effectively to improve business performance and competitive edge.,,
http://data.europa.eu/esco/skill/07022138-d9c9-48cb-81da-6a18cba5c3be,key_19757,,,knowledge,cross-sector,theoretical lexicography,"the study of lexicon
lexicon studies
theoretical lexicography","The academic field dealing with the syntagmatic, paradigmatic, and semantic relationships within the vocabulary of a certain language.",,
http://data.europa.eu/esco/skill/07090471-265a-48ec-b744-72b357e801ed,key_19758,,,skill/competence,cross-sector,handle children's problems,"diagnose children's problems
manage problems of children
diagnose mental disorders in children
manage a child's problems
manage problems of children's psychological development
manage children's problems
manage child's problem","Promote the prevention, early detection, and management of children`s problems, focusing on developmental delays and disorders, behavioural problems, functional disabilities, social stresses, mental disorders including depression, and anxiety disorders.",,
http://data.europa.eu/esco/skill/070b9cfc-5052-4567-ab82-cb931eaed700,key_19759,,,skill/competence,sector-specific,operate grease gun,"run a lubricant machine
utilise a grease gun
use lubricant machine
operate grease gun
work with a grease gun
work with a lubricant machine
utilise a lubricant machine
run a grease gun
use grease gun",Use a grease gun loaded with oil to lubricate industrial machinery in order to ensure proper operations.,,
http://data.europa.eu/esco/skill/07197605-141a-4c85-8995-00614de16c87,key_19760,,,skill/competence,cross-sector,demonstrate proficiency in packaging standards,"determine proficiency in packaging standards
demonstrating proficiency in packaging standards
demonstrate proficiency in a packaging standard
show proficiency in packaging standards
demonstrating proficiency in a packaging standard
demonstrate proficiency in packaging standards
display proficiency in packaging standards
establish proficiency in packaging standards",Work in accordance with the latest developments in domestic and international packaging standards and procedures.,,
http://data.europa.eu/esco/skill/0719ac4d-9d0f-44ae-9067-5c29c2c343ef,key_19761,,,skill/competence,sector-specific,advise on consumer rights,"recommend consumer rights
instruct on customer rights
recommend customer rights
commend customer rights
instruct on consumer rights
commend consumer rights
advise on consumer rights
help with customer rights
help with consumer rights","Advise consumers as well as retailers and service providers on the legislation concerning consumer rights, what actions consumers may undertake in order to ensure their rights are adhered to, how businesses may improve compliance to consumer rights legislation, and the correct manner to handle disputes.",,
http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,key_19762,,,skill/competence,sector-specific,model medical devices,"medical devices simulating
simulating medical devices
medical device simulating
modelling medical devices
medical device modelling
medical devices modelling
model medical devices
simulate medical devices",Model and simulate medical devices using technical design software.,,
http://data.europa.eu/esco/skill/071c361c-9366-455b-9bcf-4bd1415e037d,key_19763,,,skill/competence,occupation-specific,mark film reels,"marking film reels
annotate film reels
mark film reel
prepare film reels
mark film reels","Mark beginning, end, and light and sound extinguishing or increasing markers on the reel.",,
http://data.europa.eu/esco/skill/071c7f1d-f659-4b96-a222-b21012297f3b,key_19764,,,knowledge,cross-sector,energy market,"energy market trends
trading of energy
energy trading market
trading energy
energy trading
market for energy
energy market","The trends and major driving factors in the energy trading market, energy trades methodologies and practice, and the identification of the major stakeholders in the energy sector.",,
http://data.europa.eu/esco/skill/071de01d-c665-4984-9272-63e02b65b471,key_19765,,,skill/competence,occupation-specific,engineer seismic equipment,"seismic equipment maintenance
engineer seismic equipment
engineering seismic equipment
maintain seismic equipment
maintaining seismic equipment
maintenance of seismic equipment
seismic equipment engineering
engineering of seismic equipment
maintaining of seismic equipment
engineering for seismic equipment","Develop, try out, adjust and repair seismic equipment.",,
http://data.europa.eu/esco/skill/071f0eca-4189-433f-9d6c-edde50593300,key_19766,,,skill/competence,sector-specific,stack timber,"stack lumber
stacking timber
organise timber
stockpile timber
pile timber
arrange timber",Stack and align timber in neat and separate layers to make it ready for kiln drying.,,
http://data.europa.eu/esco/skill/072a702d-70c3-4959-91c7-85e69d143894,key_19767,,,skill/competence,cross-sector,manage a healthcare unit budget,"manage a healthcare unit budget
manage a health-care unit budget
manage a healt-care unit-budget
collaborate in budget planning processes
collaborate in budget planning
prepare healthcare unit budget
manage the budget of a healthcare unit
work on healthcare unit budget
manage the budgets of healthcare units",Manage a healthcare unit budget. Collaborate in budget planning processes including cost of supplies needed for adequate health services and management.,,
http://data.europa.eu/esco/skill/072f35a1-98e7-4a6c-9a19-474ace5644da,key_19768,,,skill/competence,sector-specific,cultivate crops for biomass,"growing crops for bio-mass
crop cultivating for biomass
crop growing for biomass
cultivate crops for bio-mass
cultivating crops for biomass
crops growing for bio-mass
crop growing for bio-mass
grow crops for biomass
crops cultivating for biomass
grow crops for bio-mass
growing crops for biomass
crop cultivating for bio-mass
crops growing for biomass
cultivate crops for biomass
crops cultivating for bio-mass
cultivating crops for bio-mass","Carry out the cultivation of crops for bio-mass, process of crops for bio-mass.",,
http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,key_19769,,,skill/competence,sector-specific,use experience map,use experience map,"Examine all the interactions and touchpoints people have with a product, brand or service. Determine key variables such as duration and frequency of every touchpoint.",,
http://data.europa.eu/esco/skill/073a58a6-08b5-4727-abd0-890ce615af77,key_19770,,,knowledge,cross-sector,protection from natural elements,"protection from natural elements
defence against natural elements
protection from the elements
shelter from natural elements","Forces of nature, such as weather patterns and seasonal conditions, their characteristics and any means of protection against them.",,
http://data.europa.eu/esco/skill/07469451-ae47-49af-98ea-99f8ef9d283c,key_19771,,,knowledge,sector-specific,general principles of food law,"general principles of food legislation
general principles of food regulation
general principles of food statutes
general principles of food law
general principles of food laws
food law general principles
general principle of food law
general principles of food rule",The national and international legal rules and requirements applied in the food industry.,,
http://data.europa.eu/esco/skill/074dd1d8-2ae6-494b-9ca9-43772643174b,key_19772,,,skill/competence,occupation-specific,manage technical aspects of vineyard production,"manage technical aspects of vineyard production
technical aspects of vineyard production process managing
managing technical aspects of vineyard production process
control technical aspects of vineyard production process
technical aspects of vineyard production process controlling
manage technical aspects of vineyard production process
control technical aspects of vineyard production
managing technical aspects of vineyard production
controlling technical aspects of vineyard production process
controlling technical aspects of vineyard production
technical aspects of vineyard production controlling
technical aspects of vineyard production managing",Control the whole production process in teræs of quantity and quality. Decide about new pratices in vineyard and winery by using internal information and consultation processus.,,
http://data.europa.eu/esco/skill/075228f2-d00d-4e24-9036-bccddbb9b414,key_19773,,,skill/competence,sector-specific,balance hydraulics of hot water systems,hydraulics balancing,"Make a hydraulic balancing calculation, calculate and select projects and components in the installation such as A-label pumps, balancing valves.",,
http://data.europa.eu/esco/skill/07547bd9-fede-40e4-96c4-71a264c9362c,key_19774,,,skill/competence,occupation-specific,use a water-fed pole system,"use water-fed pole systems
use a water fed pole system
use a water-fed pole system
using a water-fed pole system
operate a water-fed pole system
employ a water-fed pole system",Make use of poles fitted with brushes and water dispersing mechanisms to reach windows and facades at heights.,,
http://data.europa.eu/esco/skill/075b906f-d6e1-4343-b88b-140695c8e248,key_19775,,,skill/competence,sector-specific,manage sport facility finances,"handle sport facility finances
managing sport facility finances
maintain sport facility finances
manage sport facility finances
oversee sport facility finances
manage sport facility finance","Manage finance in sport and physical activity to achieve the stated objectives for the organisation. Develop a master budget and use this to monitor, evaluate and control performance and take action to deal with identified variances. Delegate responsibility for budgets for clearly defined activities.",,
http://data.europa.eu/esco/skill/075c411b-c5cd-4238-be12-d6b284a4130c,key_19776,,,skill/competence,sector-specific,identify information needs of young people,,Inquire and identify the information needs of young people and adapt services and approach towards their individual or collective needs. ,,
http://data.europa.eu/esco/skill/075c68d7-efe4-4466-be4a-9acc726504df,key_19777,,,knowledge,cross-sector,mergers and acquisitions,"mergers and acquisitions
acquisitions and mergers
transferring ownership or combining businesses
transferring ownership or combining companies","The process of joining together separate companies and relatively equal in size, and the purchase of a smaller company by a bigger one. The financial deals, the legal implications, and the consolidation of financial records and statements at the end of the fiscal year.",,
http://data.europa.eu/esco/skill/0761f325-13e7-49f4-a41a-ec64ba4e7b9d,key_19778,,,skill/competence,cross-sector,manage government-funded programmes,"oversee state-funded programmes
administer state-funded programmes
administer government-funded programmes
maintain state-funded programmes
supervise  government-funded programmes
oversee  government-funded programmes
manage government-funded programs
supervise state-funded programmes
maintain  government-funded programmes","Implement and monitor the development of projects subsidized by regional, national or European authorities.",,
http://data.europa.eu/esco/skill/07627684-2705-422f-9b31-346171eac852,key_19779,,,knowledge,occupation-specific,horse racing regulation,"horse race regulation
horse racing managing
horse racing regulation
horse racing regulations
regulations for horse racing
horse racing monitoring
horse racing policing",Regulations related to the maintenace of the health and welfare of the racehorse and rider. This means that the trainers and jockeys meet certain requirements and that horse races run properly and fairly.,,
http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,key_19780,,,knowledge,occupation-specific,captioning software,"captioning software
caption software
captioning plugin
captioning program","The various software to create captions and subtitles in a file that is merged with the actual footage, such as Telestream and MovieCaptioners.",,
http://data.europa.eu/esco/skill/076a82f9-6353-4f31-b529-d5bf9df7912a,key_19781,,,skill/competence,occupation-specific,place orders for clothing merchandise,"placing an order for clothing merchandise
arrange orders for clothing merchandise
send orders for clothing merchandise
place orders for clothing merchandise
place an order for clothing merchandise
calculate orders for clothing merchandise
estimate orders for clothing merchandise
placing orders for clothing merchandise",Order clothing items and accessories from manufacturers and wholesale stores; place orders depending on stock needs and availability.,,
http://data.europa.eu/esco/skill/0777f400-9a31-41f4-a793-a96f13ed98e4,key_19782,,,skill/competence,occupation-specific,operate tissue sheet binder,"operate tissue sheet binder
operating tissue sheet binder
run tissue sheet binder
handle tissue sheet binder
control tissue sheet binder
use tissue sheet binder
operate tissue sheet binders
activate tissue sheet binder",Use a machine that unwinds two sheets from two separate rolls and binds them to form a single sheet.,,
http://data.europa.eu/esco/skill/077fb5d5-a9a2-4e27-b1b0-fe3149ba3da0,key_19783,,,skill/competence,occupation-specific,provide medicines information,"advise on medicines
provide medicines information
inform on medicines
provide medicines education
provide medicines advice","Provide accurate, quality and safe information and advice to patients, the public and other healthcare professionals regarding medicines, advising them on the safe and rational use of medicines and devices such as the use, contraindications, storage, and side effects of non-prescription and prescription medicines.",,
http://data.europa.eu/esco/skill/078098e1-01f7-4654-9ddd-016f4063b54d,key_19784,,,skill/competence,cross-sector,cooperate with education professionals,"collaborate with training professionals
work with training professionals
collaborate with education professionals
cooperate with education professionals
participate with training professionals
work with education professionals
participate with education professionals","Communicate with teachers or other professionals working in education in order to identify needs and areas of improvement in education systems, and to establish a collaborative relationship.",,
http://data.europa.eu/esco/skill/07846f2f-e182-4f94-a7c7-9fd2865c0dde,key_19785,,,skill/competence,occupation-specific,insert semen,"animal inseminating
artificially inseminating animals
animal semen inserting
inseminate animals
inseminating animals
artificially inseminate animals
insert animal semen
animal inseminating artificially
insert semen
semen inserting
inserting animal semen",Confirm observation of animals in heat to detect the approach of oestrus or comply with the synchronisation protocol. Insert the semen into the genital tract of the female animal using appropriate equipment and technique for species.,,
http://data.europa.eu/esco/skill/07862bb1-835a-4f14-9245-17717dc550a8,key_19786,,,knowledge,sector-specific,technical equipment for crop production,"servicing requirements for technical installations, equipment and machines for crop production
maintenance regime for technical installations, equipment and machines for crop production
maintenance regime for technical equipment for crop production
technical equipment for crop production
methods of adjusting technical equipment for crop production
methods of adjusting technical installations, equipment and machines for crop production
servicing requirements for technical equipment for crop production","Methods for service, maintaining and adjusting of technical equipment, machines and instatallations used for crop production",,
http://data.europa.eu/esco/skill/078861f5-b901-48a5-951e-a3ad0a4fa0bd,key_19787,,,skill/competence,cross-sector,operate warehouse materials,"undertake warehouse materials
operating warehouse materials
run warehouse materials
conduct warehouse materials
operate warehouse material
operate warehouse materials
operation of warehouse materials
perform warehouse materials","Be able to operate pallet jack and similar motorised warehouse equipment, for loading and storage purposes.",,
http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,key_19788,,,skill/competence,sector-specific,normalise data,"prepare data
normalize data
perform data pre-processing","Reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency.",,
http://data.europa.eu/esco/skill/078a25a4-1ac2-4c83-b0ed-8f8573c4633a,key_19789,,,skill/competence,transversal,interact verbally in Occitan,"speak Provençal
communicate verbally in Occitan
interact verbally in Occitan
speak Occitan
verbally interact in Occitan
speak Languedoc
be fluent in Occitan
interacting verbally in Occitan",Communicate orally in ​Occitan.,,
http://data.europa.eu/esco/skill/078e6210-224d-4331-9c8e-f881259b6bb0,key_19790,,,knowledge,sector-specific,safe use of pesticides,"insure pesticides are used safely
safe pesticides use
safe use of pesticide
safe use of pesticides
safe application of pesticides","Precautions and regulations concerning the transport, storage and handling of chemical substances that exterminate pests.",,
http://data.europa.eu/esco/skill/079079fd-7918-491b-8302-34bec3e10d5d,key_19791,,,skill/competence,cross-sector,respond to visitor complaints,"respond to visitor's complaints
responding to visitor complaints
reply to  visitor complaints
answer visitor complaints
respond to visitor complaints
respond to complaints from visitors","Respond to visitors complaints, in a correct and polite manner, offering a solution when possible and taking action when necessary.",,
http://data.europa.eu/esco/skill/0799a646-288c-4fcd-a6fd-d97a41c1bf5b,key_19792,,,skill/competence,transversal,interact verbally in Czech,"be fluent in Czech
communicate verbally in Czech
interact verbally in Czech
verbally interact in Czech
speak Czech
interacting verbally in Czech",Communicate orally in Czech.,,
http://data.europa.eu/esco/skill/0799c35e-8eae-42c8-acb5-61ba6dc37f8f,key_19793,,,skill/competence,sector-specific,stock tobacco products' machines,"stock of tobacco products machines with materials
supply tobacco products machines with materials
stock tobacco products machines with material
provide tobacco products machines with materials
stock tobacco products machines with materials
stock tobacco products machinery with materials
furnish tobacco products machines with materials","Stock machine with materials for production of tobacco products. Take care to provide adequate quantities of paper, filters, glue, and other materials to achieve the daily production plan.",,
http://data.europa.eu/esco/skill/07aa096a-bb4e-4380-b9f2-97fd70da2a82,key_19794,,,knowledge,cross-sector,glass tempering,"tempering of glass
heat treating glass
glass tempering
heat treatment of glass
temper glass
glass tempering technique
tempering glass
heat-treat glass",Technique of treating glass with high temperatures to increase its durability and safety.,,
http://data.europa.eu/esco/skill/07ad40ef-1336-4c0c-abd5-1001773c0eda,key_19795,,,knowledge,sector-specific,electrooptic devices,"kinds of electrooptic devices
lasers
kinds of electro-optic devices
typology of electro-optic devices
typology of electrooptic devices
electrooptic devices
electro-optic devices
electro-optic modulators
types of electro-optic devices
types of electrooptic devices","Optical devices, systems, and components that possess electrical or electronic features, such as lasers or electrooptic modulators.",,
http://data.europa.eu/esco/skill/07b83472-11f3-45f8-8855-987aa600581f,key_19796,,,knowledge,sector-specific,electron beam welding machine parts,"electron beam heating and bonding machine elements
electron beam heating and bonding machine pieces
electron beam welding machine components
electron beam welding machine units
electron beam welding machine pieces
electron beam welding machine elements
electron beam welding machine parts
electron beam heating and bonding machine components
electron beam heating and bonding machine units","The various parts of a metalworking machine designed to join metal pieces together using electron beams, such as the vacuum chamber, primary anode, cathode or electron gun, focusing coil, deflection coil, prism, telescope, and others.",,
http://data.europa.eu/esco/skill/07ba491f-2fd4-4bab-bf52-32934c6f0b9f,key_19797,,,skill/competence,sector-specific,work in an international environment,"work in an international environment
be employed in an international environment
work in an multicultural environment
work in an internationally
working in an international environment
work in international environments","Guide your career to an international level which often requires the ability to interact, relate and communicate with individuals from different cultures.",,
http://data.europa.eu/esco/skill/07c29939-d5fe-4f7f-8546-f1d02fd352db,key_19798,,,skill/competence,sector-specific,inspect silo systems,"inspect a silo system
inspect silo systems
check silo systems
inspecting silo systems
detect silo systems
scrutinise silo systems
audit silo systems",Inspect silo systems to minimise any harmful emissions during their use.,,
http://data.europa.eu/esco/skill/07c4dfec-ca6c-48f5-8b02-58c71b0649c5,key_19799,,,skill/competence,sector-specific,display betting information,"display information on betting
display betting information
project betting information
portray betting information
display information on bets",Answer betting queries and put betting information on display.,,
http://data.europa.eu/esco/skill/07c73859-2c3f-4810-8735-53656f6944f9,key_19800,,,skill/competence,sector-specific,ensure compliance with port regulations,"make sure harbour regulations are followed
enforce port regulations
ensure port regulations are complied with
ensure compliance with harbour regulations
make sure port regulations are followed
ensure harbour regulations are followed
make sure harbour regulations are complied with
apply harbour regulations
ensure compliance with port regulations
apply port regulations
make sure port regulations are complied with
ensure port regulations are followed
enforce compliance with port regulations",Enforce compliance with regulations in harbours and sea ports. Communicate with relevant authorities to identify potential risks.,,
